,Accessible,Adaptive_Swing,Level,Location,Name,Playground_ID,Prop_ID,lat,lon,Zip,tot_inc_num_returns,tot_inc_amnt,avg_inc_by_zip,est_median_inc
0,Y,N,4.0,"Noble, Franklin, Milton Streets",American Playground,B001,B001,40.7288,-73.9579,11222,22570.0,1691879000.0,74961.40894993354,62850.11235955056
1,Y,N,4.0,BAY PKWY & CROPSEY AVENUE,Bensonhurst Park,B007-01,B007,40.5969,-73.9998,11214,40860.0,1780414000.0,43573.51933431229,36122.280334728035
2,Y,N,1.0,DUMONT AVE & BRISTOL ST,Betsy Head Memorial Playground,B008-03,B008,40.6645,-73.9118,11212,38370.0,1196980000.0,31195.725827469378,13046.153846153846
3,Y,N,2.0,BROOKLYN AVE & PROSPECT PL,Brower Park,B012-02,B012,40.6735,-73.9438,11213,29300.0,1201558000.0,41008.80546075085,36607.792207792205
4,Y,Y,2.0,BROOKLYN AVE & PROSPECT PL,Brower Park,B012-03,B012,40.6744,-73.9432,11213,29300.0,1201558000.0,41008.80546075085,36607.792207792205
5,Y,N,3.0,KNICKERBOCKER ST ENTRANCE,Maria Hernandez Park,B016-01,B016,40.7028,-73.9243,11237,23730.0,909446000.0,38324.73662031184,37033.82949932341
6,N,,,IRVING AVE ENTRANCE,Maria Hernandez Park,B016,B016,40.7036,-73.9234,11237,23730.0,909446000.0,38324.73662031184,37033.82949932341
7,Y,N,4.0,"Knickerbocker, Putnam Aves, Woodbine St",Bushwick Playground,B017,B017,40.6961,-73.9122,11237,23730.0,909446000.0,38324.73662031184,37033.82949932341
8,Y,N,4.0,"E. 92 ST, SEAVIEW AVE",Dinapoli Playground,B018-01,B018,40.6308,-73.893,11236,47920.0,2094980000.0,43718.280467445744,36657.59587020649
9,Y,Y,3.0,"Carroll, Court, President, Smith Sts",Carroll Park,B019,B019,40.6811,-73.9954,11231,17020.0,2408264000.0,141496.12220916568,63201.30434782609
10,Y,N,4.0,"Park Ave, Navy St, Flushing Ave, N Eliot Pl",Commodore Barry Park,B021,B021,40.6973,-73.9789,11201,31970.0,6307963000.0,197308.82076947138,88247.07520891365
11,Y,N,4.0,"Lynch, Middleton Sts, Lee Ave",Middleton Playground,B022,B022,40.7007,-73.9554,11206,36490.0,1483562000.0,40656.67306111263,36777.9
12,Y,N,4.0,"Lafayette Ave, E/o Malcolm X Blvd",Lafayette Playground,B023,B023,40.6926,-73.9301,11221,39520.0,1596673000.0,40401.64473684211,37007.868020304566
13,Y,N,4.0,"SHARON & OLIVE STS,MORGAN AVE",Carnegie Playground,B025-01,B025,40.7159,-73.9375,11211,30950.0,2360597000.0,76271.3085621971,37920.23809523809
14,Y,N,4.0,"Fulton, Cumberland Sts, Greene Ave",Cuyler Gore,B026,B026,40.6857,-73.9722,11238,30940.0,2804681000.0,90649.03038138332,62483.82608695652
15,Y,N,4.0,CROPSEY & BAY 8,Bay 8 Playground,B028-01,B028,40.6067,-74.0163,11209,34110.0,2597719000.0,76157.10935209616,37675.30487804878
16,Y,N,4.0,14 AVE & 86 ST,Dyker Playground,B028-03,B028,40.6127,-74.0127,11209,34110.0,2597719000.0,76157.10935209616,37675.30487804878
17,Y,N,2.0,MYRTLE AVE & ST EDWARDS PLAZA,Fort Greene Playground,B032-01,B032,40.6924,-73.9771,11201,31970.0,6307963000.0,197308.82076947138,88247.07520891365
18,Y,N,2.0,DEKALB AVE & CUMBERLAND ST,Fort Greene Park,B032-02,B032,40.6902,-73.9737,11201,31970.0,6307963000.0,197308.82076947138,88247.07520891365
